approval_id,approval_name,industry,department,authority_id,why_required,applicability_conditions,required_documents,prerequisites,parallelizable,inspection_required,renewal,sla,official_url,source_id,last_verified,notes,short_name,rule_kind,jurisdiction,exclusion_conditions,exclusion_reason
MIDC-ALLOTMENT-001,MIDC Industrial Land Allotment & Building Plan Sanction,solar_manufacturing,Industries Department (MIDC),AUTH-MIDC,"Statutory land allotment and building plan sanction required under the MIDC Act, 1961 for setting up clean tech manufacturing units in designated industrial zones.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-011;DOC-020;DOC-035,,yes,yes — Pre-allotment site boundary survey,no,"30 days (RTS Act Notified)",https://www.midcindia.org/allotment-policy,SRC-014,2026-09-15,"Foundational land clearance providing industrial address and legal title."
MPCB-CTE-RED-001,MPCB Consent to Establish (Red Category - Clean Tech / Solar PV),solar_manufacturing,Maharashtra Pollution Control Board,AUTH-MPCB,"Mandatory statutory consent under Water Act, 1974 and Air Act, 1981 for Red Category Solar PV Cell/Module manufacturing prior to civil work commencement.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-019;DOC-020;DOC-021;DOC-031;DOC-035,MIDC land allotment must be secured first.,no,yes — Pre-construction site environmental verification,no,"60 days (RTS Act Notified)",https://www.mpcb.gov.in/en/consentmgt/water-and-air-act,SRC-002,2026-09-15,"Red category manufacturing due to chemical etching and wafer processing."
FIRE-NOC-002,Maharashtra Fire Services Provisional NOC (High Hazard / Cleanrooms),solar_manufacturing,Maharashtra Fire & Emergency Services,AUTH-FIRE,"Mandatory fire safety design vetting under Maharashtra Fire Prevention and Life Safety Measures Act, 2006 for industrial buildings exceeding 10,000 sq ft built-up area.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""},{""kind"":""range"",""field"":""areaSqft"",""min"":10000,""expectedAreaType"":""built_up""}]}",DOC-030;DOC-037;DOC-035,,yes,yes — Joint site inspection with local fire officer,no,"21 days (RTS Act Notified)",https://mahafireservice.gov.in/e-fire.php,SRC-004,2026-09-15,"Evaluates special cleanroom fire suppression, gas leak sensors, and hydrant coverage."
DISH-FACTORY-002,DISH Approval of Factory Plans & Cleanroom Ventilation,solar_manufacturing,Labour Department (DISH),AUTH-DISH,"Required under Section 6 of Factories Act, 1948 and Rule 3 of Maharashtra Factories Rules, 1963 for high-tech manufacturing plant layouts and cleanrooms.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-015;DOC-031;DOC-035,Consent to Establish and Provisional Fire NOC precede plant construction.,no,yes — Occupational safety and hazardous process layout review,no,"30 days (RTS Act Notified)",https://labour.maharashtra.gov.in/en/services,SRC-005,2026-09-15,"Validates chemical exhaust scrubbing and worker safety egress routes."
CEIG-SUBSTATION-001,CEIG HT Electrical Substation & Transformer Approval,solar_manufacturing,Energy Department (CEIG),AUTH-CEIG,"Statutory clearance required under Central Electricity Authority (Safety & Electric Supply) Regulations, 2010 for electrical installations and substations.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""},{""kind"":""range"",""field"":""investmentAmountInr"",""min"":5000000,""expectedInvestmentDefinition"":""total_project_cost""}]}",DOC-032;DOC-020,,yes,yes — Electrical safety testing and transformer insulation check,"yes — Annual electrical safety inspection","15 days (RTS Act Notified)",https://energy.maharashtra.gov.in/ceig-services,SRC-012,2026-09-15,"Mandatory for high-tension manufacturing plants and utility grid step-up yards."
MEDA-GRID-001,MEDA Clean Energy Registration & Grid Evacuation Feasibility,solar_manufacturing,Energy Department (MEDA),AUTH-MEDA,"State nodal agency registration for clean tech power synchronization and grid evacuation approval under Maharashtra RE Policy.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-033;DOC-020;DOC-011,,yes,unknown,no,"30 days (RTS Act Notified)",https://www.mahaurja.com/meda/en/grid-connectivity,SRC-011,2026-09-15,"Facilitates state policy incentives and grid synchronization permissions."
CGWA-GW-001,CGWA Ground Water Extraction Clearance & NOC,solar_manufacturing,Central Ground Water Authority,AUTH-CGWA,"Mandatory statutory NOC under Environment (Protection) Act, 1986 for industrial groundwater extraction in notified semi-critical or critical industrial clusters.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""kind"":""in"",""field"":""district"",""values"":[""Pune"",""Thane"",""Raigad"",""Nashik"",""Aurangabad"",""Nagpur""]}]}",DOC-034;DOC-035;DOC-020,,yes,yes — Piezometer and digital flow meter verification,"yes — 3 years validity with renewal","45 days (RTS Act Notified)",http://cgwa-noc.gov.in/LandingPage/Guideline.htm,SRC-013,2026-09-15,"Applies specifically to units relying on borewell/groundwater in industrial talukas."
BOILER-REG-001,Directorate of Steam Boilers Registration & Inspection,solar_manufacturing,Labour Department (Boilers),AUTH-BOILER,"Statutory registration and steam test certificate required under the Boilers Act, 1923 for industrial steam generation and pressure vessels.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-036;DOC-035,,yes,yes — Hydraulic pressure test & boiler mounting inspection,"yes — Annual steam certificate renewal","21 days (RTS Act Notified)",https://labour.maharashtra.gov.in/steam-boilers,SRC-015,2026-09-15,"Applies for process heating, cleaning autoclaves, and de-ionized water steam generators."
MPCB-CTO-RED-001,MPCB Consent to Operate (Red Category - Solar PV/Clean Tech),solar_manufacturing,Maharashtra Pollution Control Board,AUTH-MPCB,"Statutory consent to operate required before commercial manufacturing and trial production under Water and Air Acts.","{""all"":[{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""},{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}",DOC-019;DOC-020;DOC-021;DOC-031;DOC-006,MPCB Consent to Establish and Fire Final NOC must be obtained first.,no,yes — Full effluent treatment plant and air scrubber compliance inspection,"yes — 5 years renewal cycle","45 days (RTS Act Notified)",https://www.mpcb.gov.in/en/consentmgt/water-and-air-act,SRC-002,2026-09-15,"Final operating license ensuring Zero Liquid Discharge and hazardous waste compliance.",,,,,
PSI-2019,Package Scheme of Incentives — 2019,brewery,Maharashtra Industry Department,AUTH-MIDC,"Financial incentives including industrial promotion subsidy, electricity duty exemption, and interest subsidy under the Maharashtra Industrial Policy 2019.","{""all"":[{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""}]}","","","",false,false,,https://industry.maharashtra.gov.in/sites/default/files/2025-09/20190916-psi-2019.pdf,SRC-010,2026-09-10,"Package Scheme of Incentives (PSI-2019) eligibility evaluation for Maharashtra industrial units.",PSI-2019,incentive,Maharashtra,"{""any"":[{""field"":""activityType"",""op"":""equals"",""value"":""beer-manufacturing""},{""field"":""activity"",""op"":""equals"",""value"":""beer-manufacturing""},{""field"":""industry"",""op"":""equals"",""value"":""brewery""}]}","Beer and liquor manufacturing are explicitly listed in Annexure II (Negative List of Industries) of the Package Scheme of Incentives (PSI-2019) guidelines, disqualifying the unit from state fiscal incentives."
PSI-SOLAR-2024,Maharashtra Clean Energy & Solar Manufacturing Incentive Scheme,solar_manufacturing,Energy Department (MEDA),AUTH-MEDA,"Capital subsidy up to 25% on eligible plant and machinery and 100% stamp duty exemption for solar cell/module manufacturing units.","{""all"":[{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""},{""field"":""industry"",""op"":""equals"",""value"":""solar_manufacturing""}]}","","","",false,false,,https://www.mahaurja.com/meda/en/grid-connectivity,SRC-011,2026-09-15,"State incentive scheme supporting solar equipment and module manufacturing units in Maharashtra.",Clean Energy Subsidy 2024,incentive,Maharashtra,,
STARTUP-DPIIT-001,Startup India DPIIT Recognition & Seed Fund Scheme (SISFS),all,Department for Promotion of Industry and Internal Trade,AUTH-DPIIT,"Provides official DPIIT recognition, access to Startup India Seed Fund (up to Rs 50 Lakhs), 80% rebate on patent filings, self-certification under 9 environmental & labor laws, and relaxation in public procurement.","{""kind"":""range"",""field"":""investmentAmountInr"",""max"":1000000000,""expectedInvestmentDefinition"":""total_project_cost""}","","","",false,false,,https://www.startupindia.gov.in/content/sih/en/startup-scheme.html,SRC-016,2026-09-16,"National startup recognition and funding assistance scheme for innovative entities incorporated within 10 years.",DPIIT Startup Recognition,incentive,National,,
STARTUP-80IAC-001,Section 80-IAC 3-Year 100% Tax Holiday for Startups,all,Central Board of Direct Taxes (CBDT),AUTH-CBDT,"100% corporate tax exemption on profits for 3 consecutive assessment years out of a block of 10 years for innovative DPIIT-recognized private limited companies and LLPs.","{""kind"":""range"",""field"":""investmentAmountInr"",""max"":1000000000,""expectedInvestmentDefinition"":""total_project_cost""}","","","",false,false,,https://www.incometax.gov.in/iec/foportal/help/statutory-forms/filing-form-1-80-iac,SRC-022,2026-09-16,"Tax holiday under Section 80-IAC of the Income Tax Act for eligible startups.",3-Year Tax Exemption (80-IAC),incentive,National,,
MSME-UDYAM-001,MSME Udyam Registration & Priority Lending Concessions,all,Ministry of Micro Small and Medium Enterprises,AUTH-MSME,"Confers statutory MSME status, 1% interest rate discount on bank loans, 50% discount on trademark/patent fees, 45-day payment protection under Section 15 of MSMED Act, and tender fee waivers.","{""kind"":""range"",""field"":""investmentAmountInr"",""max"":500000000,""expectedInvestmentDefinition"":""total_project_cost""}","","","",false,false,,https://udyamregistration.gov.in/Government-India/Ministry-MSME-registration.htm,SRC-017,2026-09-16,"Statutory registration providing broad enterprise protections, concessional loans, and tariff waivers.",MSME Udyam Benefits,incentive,National,,
MSME-CGTMSE-001,Credit Guarantee Scheme for Micro & Small Enterprises (CGTMSE),all,Ministry of MSME & SIDBI,AUTH-MSME,"Provides up to Rs 5 Crore in collateral-free bank credit facilities (term loans & working capital) with 75% to 85% credit guarantee cover by SIDBI/MoMSME without requiring third-party collateral or mortgage.","{""kind"":""range"",""field"":""investmentAmountInr"",""max"":500000000,""expectedInvestmentDefinition"":""total_project_cost""}","","","",false,false,,https://www.cgtmse.in/Default.aspx,SRC-018,2026-09-16,"Collateral-free credit guarantee scheme enabling bank financing for micro and small enterprises.",CGTMSE Collateral-Free Credit,incentive,National,,
MSME-ZED-001,MSME Sustainable (ZED) Certification Subsidy Scheme,all,Ministry of Micro Small and Medium Enterprises,AUTH-MSME,"Provides 80% (Micro), 60% (Small), and 50% (Medium) financial subsidy on Zero Defect Zero Effect (ZED) certification cost + up to Rs 5 Lakhs testing assistance for clean and energy-efficient manufacturing.","{""kind"":""range"",""field"":""investmentAmountInr"",""max"":500000000,""expectedInvestmentDefinition"":""total_project_cost""}","","","",false,false,,https://zed.msme.gov.in/,SRC-021,2026-09-16,"Clean technology and zero-defect sustainability certification subsidy scheme for manufacturing units.",ZED Sustainable Subsidy,incentive,National,,
DGFT-EPCG-001,Export Promotion Capital Goods (EPCG) Zero-Duty Machinery Import Scheme,all,Directorate General of Foreign Trade,AUTH-DGFT,"Allows import of modern capital machinery and quality testing equipment at 0% basic customs duty, saving 25-30% capital expenditure, subject to fulfilling 6x export obligation over 6 years.","{""kind"":""range"",""field"":""investmentAmountInr"",""min"":1000000,""expectedInvestmentDefinition"":""total_project_cost""}","","","",false,false,,https://www.dgft.gov.in/CP/?opt=epcg-scheme,SRC-019,2026-09-16,"Zero-duty capital goods import scheme for industrial manufacturing and export enhancement.",EPCG Zero-Duty Import,incentive,National,,
MOFPI-PMFME-001,PM Formalisation of Micro Food Processing Enterprises (PMFME) Scheme,brewery,Ministry of Food Processing Industries,AUTH-MOFPI,"Provides 35% credit-linked capital subsidy up to Rs 10 Lakhs per unit for food and beverage processing units upgrading machinery, hygiene labs, and automated bottling lines.","{""all"":[{""field"":""state"",""op"":""equals"",""value"":""Maharashtra""},{""kind"":""range"",""field"":""investmentAmountInr"",""max"":500000000,""expectedInvestmentDefinition"":""total_project_cost""}]}","","","",false,false,,https://mofpi.gov.in/pmfme/,SRC-020,2026-09-16,"Centrally sponsored micro food and beverage enterprise formalisation and modernisation capital subsidy scheme.",PMFME Food Processing Subsidy,incentive,National & State,,
